url,keyword,position,search_volume,cpc,traffic_index,traffic_potential,tix_delta,seo_value,seo_value_potential,seva_delta
https://www.ebay.com/b/Car-Truck-LED-Light-Bulbs/33713/bn_566578,led light car bulbs,7,1,0,0,0,0,0,0,0
https://www.ebay.com/b/Car-Truck-LED-Light-Bulbs/33713/bn_566578,cars led light,6,10,0,0,2,2,0,0,0
https://www.ebay.com/b/Car-Truck-LED-Light-Bulbs/33713/bn_566578,led light for trucks,5,41,0.14,1,7,6,0.14,0.98,84
https://www.ebay.com/b/ATV-Side-by-Side-UTV-Exhaust/43978/bn_572550,atv exhaust,9,10,0,0,2,2,0,0,0
https://www.ebay.com/b/Downhill-Skiing-Equipment/16059/bn_1993380,skiing equipment sale,46,1,0.41,0,0,0,0,0,0
https://www.ebay.com/b/Downhill-Skiing-Equipment/16059/bn_1993380,what equipment do you need for alpine skiing,33,10,0,0,2,2,0,0,0
https://www.ebay.com/b/Downhill-Skiing-Equipment/16059/bn_1993380,skiing equipment,27,16,1.41,0,3,3,0,4.23,423
https://www.ebay.com/b/Downhill-Skiing-Equipment/16059/bn_1993380,equipment for alpine skiing,25,10,0,0,2,2,0,0,0
https://www.ebay.com/b/Downhill-Skiing-Equipment/16059/bn_1993380,skiing supplies,23,10,0,0,2,2,0,0,0
https://www.ebay.com/b/Musical-Instruments-Gear/619/bn_1865601,musical instrumets,9,10,0,0,2,2,0,0,0
https://www.ebay.com/b/Musical-Instruments-Gear/619/bn_1865601,used instruments,7,14,0.73,0,2,2,0,1.46,146
https://www.ebay.com/b/Musical-Instruments-Gear/619/bn_1865601,4 gear music,7,47,0.14,1,7,6,0.14,0.98,84
https://www.ebay.com/b/Musical-Instruments-Gear/619/bn_1865601,clearnet instrument,5,10,0,0,2,2,0,0,0
https://www.ebay.com/b/Musical-Instruments-Gear/619/bn_1865601,gears 4 music,45,18,0.44,0,3,3,0,1.32,132
https://www.ebay.com/b/Shipping-Containers/92079/bn_16563619,cargo container,4,109,0.88,4,18,14,3.52,15.84,1232
https://www.ebay.com/b/Shipping-Containers/92079/bn_16563619,shipping containers prices,3,41,1.43,2,7,5,2.86,10.01,715
https://www.ebay.com/b/Shipping-Containers/92079/bn_16563619,shipping containers,3,335,1.58,15,55,40,23.7,86.9,6320
https://www.ebay.com/b/Shipping-Containers/92079/bn_16563619,prices shipping containers,2,39,0.62,2,6,4,1.24,3.72,248
https://www.ebay.com/b/Shipping-Containers/92079/bn_16563619,shipping container price,2,37,0.77,2,6,4,1.54,4.62,308
https://www.ebay.com/b/Bronze-Age-Comics-1970-1983/12590/bn_2311531,bronze age comic books,9,10,0,0,2,2,0,0,0
https://www.ebay.com/b/Bronze-Age-Comics-1970-1983/12590/bn_2311531,bronze age comics,6,10,0.36,0,2,2,0,0.72,72
https://www.ebay.com/b/Bronze-Age-Comics-1970-1983/12590/bn_2311531,bronze age marvel comics,3,10,0,0,2,2,0,0,0
https://www.ebay.com/b/Bronze-Age-Comics-1970-1983/12590/bn_2311531,bronze age of comics,17,10,0,0,2,2,0,0,0
https://www.ebay.com/b/Baseball-Trading-Cards/213/bn_2309847,topps cards,6,15,0.02,0,2,2,0,0.04,4
https://www.ebay.com/b/Baseball-Trading-Cards/213/bn_2309847,topps sports cards,5,8,0.32,0,1,1,0,0.32,32
https://www.ebay.com/b/Baseball-Trading-Cards/213/bn_2309847,mlb trading cards,5,8,0,0,1,1,0,0,0
https://www.ebay.com/b/Baseball-Trading-Cards/213/bn_2309847,baseball sports cards,5,7,0,0,1,1,0,0,0
https://www.ebay.com/b/Baseball-Trading-Cards/213/bn_2309847,baseball card topps,4,1,0,0,0,0,0,0,0
https://www.ebay.com/b/Military-Adventure-Action-Figures/158679/bn_223805,army action figures toys,6,10,0,0,2,2,0,0,0
https://www.ebay.com/b/Military-Adventure-Action-Figures/158679/bn_223805,military action figures,6,9,0.02,0,1,1,0,0.02,2
https://www.ebay.com/b/Military-Adventure-Action-Figures/158679/bn_223805,action figures military,4,7,0,0,1,1,0,0,0
https://www.ebay.com/b/Home-Decor-Posters-Prints/41511/bn_2313823,wall posters for home,7,9,0.01,0,1,1,0,0.01,1
https://www.ebay.com/b/Home-Decor-Posters-Prints/41511/bn_2313823,home decor wall art prints,49,10,0,0,2,2,0,0,0
https://www.ebay.com/b/Home-Decor-Posters-Prints/41511/bn_2313823,posters home,49,10,0,0,2,2,0,0,0
https://www.ebay.com/b/Home-Decor-Posters-Prints/41511/bn_2313823,posters and prints cheap,47,10,0,0,2,2,0,0,0
https://www.ebay.com/b/Home-Decor-Posters-Prints/41511/bn_2313823,cool posters for room,46,10,1.12,0,2,2,0,2.24,224
https://www.ebay.com/b/Motorcycle-Luggage/179715/bn_78211236,leather motorcycle luggage,35,10,0,0,2,2,0,0,0
https://www.ebay.com/b/Motorcycle-Luggage/179715/bn_78211236,motorcycle bag,29,28,0.41,0,5,5,0,2.05,205
https://www.ebay.com/b/Printing-Graphic-Arts/26238/bn_1865538,graphic design machine,8,10,0,0,2,2,0,0,0
https://www.ebay.com/b/Printing-Graphic-Arts/26238/bn_1865538,grafic arts,43,0,0.86,0,0,0,0,0,0
https://www.ebay.com/b/Printing-Graphic-Arts/26238/bn_1865538,graphic arts tools,33,10,0,0,2,2,0,0,0
https://www.ebay.com/b/Printing-Graphic-Arts/26238/bn_1865538,printing sale,24,10,0,0,2,2,0,0,0
https://www.ebay.com/b/Printing-Graphic-Arts/26238/bn_1865538,graphic arts printer,10,10,0,0,2,2,0,0,0
https://www.ebay.com/b/Complete-Engines-for-Ford-Ranger/33615/bn_1387515,ford ranger 4 cylinder engine,7,10,0,0,2,2,0,0,0
https://www.ebay.com/b/Complete-Engines-for-Ford-Ranger/33615/bn_1387515,3.0 liter ford engine,7,10,0,0,2,2,0,0,0
https://www.ebay.com/b/Complete-Engines-for-Ford-Ranger/33615/bn_1387515,2.3l ford ranger engine,7,10,0,0,2,2,0,0,0
https://www.ebay.com/b/Complete-Engines-for-Ford-Ranger/33615/bn_1387515,4.0 ford ranger,7,10,0,0,2,2,0,0,0
https://www.ebay.com/b/Complete-Engines-for-Ford-Ranger/33615/bn_1387515,ford 2.3 liter motor,48,11,0.02,0,2,2,0,0.04,4
https://www.ebay.com/b/Harry-Potter-Collectibles/29798/bn_2310573,harry potter for sale,5,10,0,0,2,2,0,0,0
https://www.ebay.com/b/Harry-Potter-Collectibles/29798/bn_2310573,harry potter buy online,48,10,0,0,2,2,0,0,0
https://www.ebay.com/b/Harry-Potter-Collectibles/29798/bn_2310573,comprar harry potter,43,1,0,0,0,0,0,0,0
https://www.ebay.com/b/Harry-Potter-Collectibles/29798/bn_2310573,harry potter collectibles,4,13,0.17,0,2,2,0,0.34,34
https://www.ebay.com/b/Harry-Potter-Collectibles/29798/bn_2310573,livros harry poter,37,0,0,0,0,0,0,0,0
https://www.ebay.com/b/DVDs/617/bn_230291,dvds for sale,7,34,0.26,1,6,5,0.26,1.56,130
https://www.ebay.com/b/DVDs/617/bn_230291,latest dvd releases usa 2014,49,10,0,0,2,2,0,0,0
https://www.ebay.com/b/DVDs/617/bn_230291,2015 movie dvd releases,48,10,0,0,2,2,0,0,0
https://www.ebay.com/b/DVDs/617/bn_230291,2014 new release dvd,46,10,0,0,2,2,0,0,0
https://www.ebay.com/b/DVDs/617/bn_230291,dvd top ten 2013,41,15,0,0,2,2,0,0,0
https://www.ebay.com/b/Snowmobile-Parts-in-Motors/100448/bn_579671,snowmobile parts accessories,7,10,0,0,2,2,0,0,0
https://www.ebay.com/b/Snowmobile-Parts-in-Motors/100448/bn_579671,snowmobile parts,3,10,0.02,0,2,2,0,0.04,4
https://www.ebay.com/b/Snowmobile-Parts-in-Motors/100448/bn_579671,arctic cat snowmobile aftermarket parts,26,10,0,0,2,2,0,0,0
https://www.ebay.com/b/Snowmobile-Parts-in-Motors/100448/bn_579671,snowmobile parts for sale,1,10,0,2,2,0,0,0,0
https://www.ebay.com/b/Rebecca-Minkoff-Handbags-and-Purses-for-Women/169291/bn_737500,rebecca minkoff bag,9,51,0.81,1,7,6,0.81,5.67,486
